"sex+age" "age" "sex" "fem-age" "male-age"
"ASDC_l2" 3 0 3 0 0
"B intermediate_l2" 17 0 23 0 0
"B memory_l2" 1126 2 823 0 0
"B naive_l2" 448 0 1161 0 0
"B_l1" 430 0 940 0 0
"CD14 Mono_l2" 26 0 66 0 0
"CD16 Mono_l2" 12 0 12 0 0
"CD4 CTL_l2" 9 0 9 0 0
"CD4 Naive_l2" 3209 0 4493 0 0
"CD4 Proliferating_l2" 5 0 5 0 0
"CD4 T_l1" 284 0 487 0 0
"CD4 TCM_l2" 48 0 50 0 0
"CD4 TEM_l2" 24 1 28 0 0
"CD8 Naive_l2" 710 48 50 21 2
"CD8 Proliferating_l2" 1 0 1 0 0
"CD8 T_l1" 53 1 44 0 0
"CD8 TCM_l2" 10 0 10 0 0
"CD8 TEM_l2" 26 0 27 0 0
"cDC1_l2" 0 0 1 0 0
"cDC2_l2" 154 1 209 5 0
"DC_l1" 236 1 379 0 0
"DC_l2" 261 1 411 0 0
"dnT_l2" 12 0 13 0 0
"Eryth_l2" 4 0 4 0 0
"gdT_l2" 9 1 9 3 0
"HSPC_l2" 32 3 17 0 0
"ILC_l2" 2 0 2 0 2
"MAIT_l2" 476 11 47 1 2
"Mono_l1" 47 0 142 0 0
"NK Proliferating_l2" 521 0 501 0 0
"NK_CD56bright_l2" 25 0 28 0 0
"NK_l1" 5600 10 3874 1 20
"NK_l2" 5719 5 4142 0 21
"other T_l1" 41 9 27 0 1
"other_l1" 12 0 12 0 0
"pDC_l2" 9 0 10 0 0
"Plasmablast_l2" 8 0 8 0 0
"Platelet_l2" 7 0 7 0 1
"Treg_l2" 57 0 80 0 0
